User Name,Rating,Comment,Date
Jimmy Neutron Chemical,1,"mau print resi aja susahnya minta ampun ga otomatis ke save, 30 menit ngulang2 buat 1 resi 100% aplikasi sampah.",2026-01-26 05:26:56
Cikpah Store,1,What are you try to do??? I want to print airwaybill but it's stuck and not download yet???several times happen!!!! You took the service fee too much but you don't upgrade airwaybill system..!!!,2026-01-26 04:53:15
Muhamad Rizqi Abdillah (MuhamadRizqiAbdillah),1,"After tokopedia acquisitioned by tiktok, this platform SUCKS, they ALWAYS LATE for transfering payouts.",2026-01-26 04:20:40
Mhie Mhie,1,DATA IS NOT SHOWN!!!!? SINCE YESTERDAY!!! WHAT DID YOU DO!!!!!!!!,2026-01-26 03:58:54
eka jaya motor,1,"Aplikasi belanja terbaik, boleh pakai fitur retur tapi barang retur nya di isi sampah.... boleh jualan tapi mendadak muncul potongan ga jelas tanpa ada konfirmasi terlebih dahulu dengan kata kata dari platform nya "" kami mengaktifkan otomatis fitur diskon toko ini"". Banyak muncul fitur beli tanpa bayar. Pembeli boleh retur tanpa video unboxing..... Applikasi jualan terbaik.",2026-01-26 03:31:46
manikya cynthia,1,"sejak gabung jadi chaos. udh 2 minggu tp barang jualan ga terintegrasi juga, tiap nanya cs sampai udh dibikin tiket keluhan, tetep aja ditunda-tunda suruh nunggu. semoga yg ngide ngeintegrasi harinya senin terus",2026-01-26 02:57:47
ilyas idris,1,"menyebalkan, - terlalu ribet (chat, pesanan) - print label & pickup bikin makin ribet krn dijadikan satu, dan output label hanya pdf br bs diprint - chat sgt lama sekali terkirim & kebanyakan filter - notif pesanan selalu terlambat masuk kadang tdk ada notif. - yg paling aneh driver ojol sameday bisa membatalkan pesanan (otomatis by system) bila ogah nganter hanya dgn melakukan pickup & retur fiktif, padahal driver tdk pernah dtg. Seller jd rugi krn paket sdh dikemas, tp tdk jadi dikirim. bego",2026-01-26 01:01:55
Laksmi Aristie,1,not easy n simple,2026-01-25 22:42:58
Marcus Martin,1,"It's a piece of junk! Should have left it alone and not changed anything, it was perfect the way it was. QUIT changing stuff it doesn't make it better it just makes it worse. KEEP IT SIMPLE!",2026-01-25 16:41:50
Lunitic Recordings,2,Idk > I cant trust using your platform for simply your abuse of control you probably will definetly steal all accounts funds if you disagree with their truths> only those who dislike truth embark the false> you well represent that and have no seed of resent. Repentance is far worse in The Underworld [well noted] Use with caution I guess we cant trust even the market system for means to survive without a rich obsessive maniac ruining it as they create it. Self destructive ideas how quaint.,2026-01-25 13:26:36
YH L,1,"I can't sign in the app keep asking the and resend code through Gmail, although I already enter the right code the apps keep asking the code again and again",2026-01-25 12:07:00
Nizar Ali,1,"Pop up masukkan email dan telfon muncul terus wajib diisi, sedangkan saat masukkan email dan nomor sudah ter link dengan akun yang sedang login? bagaimana maksudnya? aplikasi todak bisa dibuka?",2026-01-25 10:14:39
Syarbia Kani,5,first you learn then you earn,2026-01-25 07:54:54
Gian Gonda,1,lagyan nyopo sana Ng gcash cash out Please add GCash cash out.,2026-01-25 05:46:29
Woh Handiko,5,"sebelum integrasi, untuk seller receh, baca dulu panduannya",2026-01-25 05:19:30
Abdulrahman Alsawadi,1,"tiktok services is a joke..you need a separate account for each of the services and apps then trying to link them is a nightmare or error messages and getting stuck, can't progress in the verification and can't delete the account because it's not verified. Then try to speak to support! you go in circles with the AI agent which describes everything that doesn't work!",2026-01-24 22:44:43
Marisa Cabrera,5,excellent,2026-01-24 21:15:38
Alfian Dagung,3,kenapa tidak ada fitur report chat? banyak chat spam ke seller yang mengaku dari tiktok dan tokopedia 😑,2026-01-24 15:00:02
Greg Conrardy,1,"I'm an independent seller and I thought I could use TikTok Shop to sell some of the new items that I have. Unfortunately, this platform has decided to eliminate personal sellers. All sold items must be sent to an independent warehouse for inspection and handling, but most local warehouses are not equipped to handle such requests. Another reason for the one star is that this app absolutely bombards you with emails. I had roughly 20 emails within a week of creating an account.",2026-01-24 07:57:36
BM Kamrul,5,nice,2026-01-24 05:39:47
Jaya Darma Computer Center,3,"aplikasi tidak bisa didownload sampai 100%, stuck di 99%.",2026-01-24 05:18:48
Amy Petro,5,"so far so good,im very impressed with the thorough preparation.",2026-01-24 04:57:41
Haris Budi,1,bad UX,2026-01-24 00:23:06
Dimas Grisnanda,1,sampah,2026-01-24 00:04:45
Hendra Jaya,5,"very good, easy to submit new product",2026-01-23 22:44:29
Erica Chamberlain,5,this is a good app to use if you are selling on tik tok or just starting out for your business. They review your products before posting and it's amazing 👏,2026-01-23 18:49:00
daniel arbiter,5,great app,2026-01-23 17:15:24
Twotech MayanaQuin,3,its still many thing to upgrade for seller side.,2026-01-23 14:26:37
Anton Christianto,1,after some update. filtering orders cannot be done because the apply filter button is missing customer support for indonesian seller is like a perfect defense formation. every ticket that come their way will be given a ticket. and then the ticket will be solved with non helpful answer. relying on seller's frustation until the ticket is closed.,2026-01-23 10:11:24
Denny Ismail,5,getting used to it already.. good apps..!!,2026-01-23 09:53:00
Myuu Chan,5,sooo great,2026-01-23 07:34:54
Riki Ridwan,1,"Dulu saya biasa berjual di Tokopedia tanpa kena potongan.  Misal saya jual di harga Rp.250.000, maka uang yg saya dapatkan adalah Rp.250.000. Tapi saat tokopedia bergabung dengan tiktok, uang saya dipotong tanpa pemberitahuan terlebih dahulu. Harga jual yg seharusnya saya dapatkan full Rp.250.000 dipotong jadi Rp.225.000. Kalo tiktok dan tokopedia mau kasih diskon ke pembeli ya jangan dibebankan ke penjual dong! Saya kan jelas² ngasih harga Rp.250.000, kenapa kalian potong uang saya.",2026-01-23 07:18:10
Jia Wei,5,"Good, easy to use, no bug, smooth very good, wo shi devi, i do the most spicy nasi lemak for strong man, normal for weak man",2026-01-23 04:43:49
Halim,2,aneh di tiktok seller GK knp akun ke logout sendiri GK bs dpake berjualan gimana ini ya k udah 7hari tertulis approve dokumen saya udh mendaftar dari awal data2 sudah dikirim mohon bantuannya ya k,2026-01-23 04:37:01
kevin chris22,1,"gak pernah dukung penjual ini tiktok shop gak rekomensi buat jualan ,",2026-01-23 03:23:53
Maryam Raza,5,Its good for small business at home...,2026-01-23 01:10:42
Troy Lindsey,5,easy to use,2026-01-22 19:53:02
Wahyu Fadhullah,1,"payah semenjak gabung tiktok jadi ribet banget ,masa buat toko dari awal lagi pdahal di tokped udah keluar nama toko sesuai akun",2026-01-22 12:58:10
Merai Chii,1,bugs when trying to print the waybill. cs not understanding my issue even if we already provided screen recording.,2026-01-22 05:41:58
Hayashi2,1,"Kalau memang TikTok tidak terlalu penting untuk penjual, sebaiknya fokus saja di Shopee. Jualan di TikTok benar-benar melelahkan. Biaya iklan mahal, pengajuan banding retur sering ditolak dengan berbagai alasan yang tidak jelas. Yang paling parah, status retur sering dibilang barang sudah diterima penjual, padahal kenyataannya barang belum sampai sama sekali. Sistem dan support-nya sangat merugikan penjual. Mohon diperbaiki kalau ingin seller tetap bertahan di platform ini.",2026-01-22 04:12:27
Grant Hadinata,1,"This app charges the seller too much... and they charge the seller for the other promo they gave to the customer such as cashback rewards, i hope they can stop that unreasonable promo which making damages to the seller when the seller didn't tet that many profit to begin with",2026-01-22 02:03:32
Martinz,2,Please review the selling fee / cost that charged to the seller. TBH my profit per items are not based on item price %. Sometime i just try to earn Rp. 50k.😞 and u charges us more than 50k.,2026-01-22 01:54:48
DuhliNuaw,1,"bad system, unwanted placed discount, total amount income, cuted and more cuted afterward...sneaky steeling from low mid life",2026-01-22 00:58:58
Marites Laigo,5,fast downloading,2026-01-21 22:58:52
Vugar Abbas,1,"Experience is a trash. TikTok loves selling cheap plastics made in China. So much so that they don't allow premium brands to sign up, as it would destroy the illusion that they only sell cheap items.",2026-01-21 16:09:09
GUNA SINGAM,5,Tik Tok is an Amazing Platform,2026-01-21 07:41:00
Gia De Quiroz,1,Hindi sya helpful. STRESSFUL PARA SA MGA BUSINESS OWNERS. KUNG ANO ANONG VIOLATION KAHIT TAMA NAMAN ANG BINEBENTA!!! MALAMANG PERFUME IBA IBA KULAY. DAHIL LANG SA KULAY NAG MISLEADING PRODUCT AKO AT NIREMOVE ANG ITEM! DI KAYO NAKAKATULONG!,2026-01-21 06:25:57
Ahmad Qolyubi,1,fitur sulit du hp dan terlalu banyaj aturan tidak jelas,2026-01-21 05:25:49
ROZETA ABDUL KARIM,5,good,2026-01-21 03:34:54
Mister XXX,1,murah amat feenya..naikin lagi dong..sama pencairan dananya terlalu cepat.. ditahan sebulan lah minimal baru cair..kalau perlu dipotong biaya lagi..misal 100rb gt utk pencairan,2026-01-21 03:24:56
Nor Diyana Tajariffin,3,So much restricted and violation to seller but TT allow for those who dancing and sell improper thing.,2026-01-21 03:17:22
Charles Ben,1,"tidak mudah buat akun baru..selalu bermasalah, akun lama mau pindah lokasi pun tidak bisa..",2026-01-21 02:26:17
Jamie Kling,5,ok,2026-01-20 23:40:18
Enggar Risky,1,"aplikasi dzalim. seller udah kirim di hari yang sama saat buyer checkout setelah barang sampai, buyer sudah konfirmasi tapi uang gabisa langsung cair. harus menunggu 24-48 jam setelah buyer klik terima pesanan. aplikasi jelek sampah dzalim",2026-01-20 18:21:13
Arwinsyah Tasik,1,SELLER CENTER PALING SAMPAH!!!! KEMBALIKAN TOKOPEDIA SELLER!!!,2026-01-20 12:31:59
James Andersen,3,"Fiturnya gak seenak Tokped, khususnya saat cetak label pengiriman di web, kenapa harus matiin pop-up blocker? Bikin yg lebih nyaman buat user bukan gampang buat programmer 😁😁",2026-01-20 10:48:07
Sumarlim Tjandra,1,"yang kerja ROBOT semua. ga ada sentuhan manusia, tidak bisa komunikasi.",2026-01-20 07:25:15
Sheryl Guinez,5,Gusto ko po mag order sa tiktok,2026-01-20 05:03:55
Marvin Mangulabnan,1,Napakahigpit sa listings.,2026-01-20 04:05:41
Andrew Mcfatridge,1,No help for violations and lack of information about said violation.,2026-01-20 01:51:18
George Ott,1,wont let me link my account or upload videos of my product,2026-01-20 00:04:09
Tilly Dee,1,I cant even fill out any information to use it. Keeps crashing.,2026-01-20 00:02:03
therry,1,"untuk seller yg cuma jualan di tokped,akan lebih baik settingan bisa dipilih secara default hanya untuk tokped, seperti ringkasan harian,harusnya bisa dipilih defaultnya tokped. tokped seperti anak tiri. intinya untuk developer,seller page di orange itu jauh lebih intuitif. kalian hanya bisa bermimpi mau mengalahkan orange.",2026-01-19 15:24:55
Kst,1,Pelayanan lama dan CS gak membantu,2026-01-19 13:16:25
PeCeL Lele,1,"aplikasi lelet, dan sistemnya aneh bin ajain",2026-01-19 11:39:27
bobi elianto,2,semenjak update chat tidak up to date. harus pakai browser terus.,2026-01-19 04:20:44
elfa kusuma,3,tampilannya sangat tidak enak. tidak user friendly. jauh lebih enak menggunakan aplikasi lama yg tokopedia seller sebelum gabung tiktok. sudah gitu potongannya banyak banget,2026-01-19 02:55:42
Bambang Sadikin,1,Ok bgt,2026-01-18 21:58:56
Obamos 505,1,"Apps paling menyusahkan, barang dah hantar kat drop off pastu salah driver tak pickup last last semua barang cancel camtu je. pastu barang aku yang cancel tu kau peram ke. pebenda la",2026-01-18 12:05:38
kekua channel,1,"aplikasi tolol , setiap di buka minta login terus , mana loginnya ribet !!",2026-01-18 11:04:56
David Awei Z,1,"aneh produk yg biasa normal, jd tdk bs ditampilkan",2026-01-18 10:47:10
robith mundzir,1,"Aplikasi sering error, tidak bosa dibuka. Fasilitas chat membingungkan dan berantakan, terlalu banya fitur yang tidak diperlukan.",2026-01-18 10:19:52
kevin katon radityo,1,"ui nya sangat burik, selain itu akun selalu keluar sehingga harus login ulang berkali kali.",2026-01-18 08:37:45
Indra Partha,1,masih butuh perbaikan ga seperti aplikasi Tokopedia yg dulu,2026-01-18 07:33:20
Nur Ramadhan Mohamad Azaludin,1,Application is unstable. Chat that had been replied were said unreplied. chats were not sync properly. chats were missing. only appear suddenly after more than 12 hours. please make it better,2026-01-18 06:12:36
KYAK Official,1,so difficult to figure out,2026-01-17 22:23:13
Titan P. Arta,1,mahaaal gilaaa fee adminya,2026-01-17 15:25:47
Cookie,1,"Apikasi tidak berguna! Tiap mau cek pesanan selalu error, update stok dan ubah produk pun selalu error alhasil tidak bisa digunakan. Notifikasi pesanan maupun chat tidak pernah masuk padahal sudah aktif semua. Selalu log out sendiri setiap aplikasi ditutup. Sangat tidak berguna!!!",2026-01-17 14:50:42
aldino hadianto,1,Saya benci dgn POTONGAN JASA APP yg sangat merugikan seller,2026-01-17 09:18:40
Aswin Wijaya,1,"web lemot, jam kerja gudang msh buka, instan sdh on, tp pembeli ga bisa pilih instan.. kontak CS cmn bisa kasih tiket.. ga bisa apa ksh solusi lgs? pembelinya keburu kabur dong",2026-01-17 08:13:21
Ikhwan Fauzi,1,"e-commerce jahat, barang yang sudah diterima dananya ditahan 7 hari untuk toko standar, padahal jual cepat karena BU. selain itu ternyata ada potongan pajak. kalo admin tidak terima dengan testimoni ini, silahkan. saya punya data dan experience penjualan yang memang di potong dan dananya ditahan lebih dari 3 hari. kebijakan kalian merugikan. udah paling bener jual beli barang di shopee aja.",2026-01-17 06:33:20
Floreta Orchid,3,agak pusing untuk pakainya banyak fitur yg sebetulnya jadi bikin cluttered,2026-01-17 04:27:05
candra,1,"FIX ETALASE, kenapa sering saya buat etalase kemudian muncul error tidak ada produk didalam etalase padahal sudah saya tambahkan produk dan saya save, terkadang saya harus hapus etalase nya dan saya buat dr awal lg baru bisa, bukan ini aja, terkadang etalase yg sebelumnya berfungsi dengan normal, beberapa hari kemudian etalase yg sama isinya kosong, dan kadang jg ada etalase yg isi produk didalamnya berkurang, haa???? FIX YOUR APP!!!",2026-01-17 03:06:16
Meta Tri Wahyuni,1,ribet aplikasinya,2026-01-16 23:36:20
The Messatsu (Messatsu),5,good,2026-01-16 16:41:23
Rinda Yenni,4,a bit confuse to fill in the product,2026-01-16 10:09:42
Decky Hermawan,1,slow,2026-01-16 09:15:26
Dacon FX,1,ngedit iklan susah dan dan banyak notif bug,2026-01-16 05:52:25
M Fachri Howel,1,"sampah...sampah...sampah. Total garbage the new app, really hard to navigate for seller, with no support for seller in the transaction.",2026-01-16 05:28:29
Artificial Atom,1,"Kebanyakan filter, mau lihat semua pesanan susah banget. Versi web pun hancur. Balik shopi gaes",2026-01-16 03:16:52
Mohamad Sani Husin,5,Alhamdulillah excellent,2026-01-16 03:11:53
Agung Sedayu,1,"WOI BIKIN KEBIJAKAN JAN MACEM MACEM DONG. KAGA KONSISTEN AMAT. KATANYA DANA BISA DITARIK 1 MINGU. GILIRAN UDAH HARI H, MALAH MUNDUR LAGI 😡",2026-01-15 23:36:35
Sukses Lancar Mesin Jahit,1,"Aplikasi jualan yang paling bikin stress, layoutnya susah, udah gitu main menutup akun seller tanpa alasan yang jelas. tanda2 bangkrut ini tokopedia tiktok seller. Untung aja ngga ada saldo tertahan lagi di akun.",2026-01-15 21:24:53
Arif Purwanto,1,penarikan hasil jualan Lama bgt sampe 5 hari... kapok jualan di sini,2026-01-15 16:47:35
Mapan Packaging,1,"Bagi tiktard tidak masalah jika website lemot, perlu banyak RAM, susah digunakan dll, YANG PENTING BANYAK AI SLOP!!!!!!!! Pokoknya diisi AI, mau hasilnya hancur lebur gpp, pokoknya AI",2026-01-15 14:04:34
Boboy Francisco,5,I am a friend of TikTok,2026-01-15 13:53:03
Emmanuel Dumlao,5,good,2026-01-15 12:15:20
re viewer,2,"gila dana cair lama bener, gimana bisa muterinnya hadeuuh...",2026-01-15 08:52:51
Herman Afen,1,susah amat upload produk ny dan suka ngulang upload produk pula bikin hp cepat panas bangat,2026-01-15 01:55:35
Esa Zunu,1,"marketplace isinya sarang maling belinya apa, dikembalikan apa buyer beli barang ke alamat random, tiba2 retur.. eee gitu bisa2nya uang dikembalikan sangat tidak bersahabat banyak maling",2026-01-14 23:47:23
Wahyu Prasetya,1,"sebagai seller, seller sangat dirugikan oleh sistem refund. Pembeli dapat uang kembali tanpa mengembalikan barang. CS tidak membantu dan tidak ada solusi. Dulu Tokopedia Seller jauh lebih berpihak dan membantu, sekarang sangat mengecewakan.",2026-01-14 22:49:48
Khan,5,good,2026-01-14 19:13:54
Edward Kusuma,1,"Total stupidity, since sellers are not allowed to choose logistic service for the standard and economy purchase! no freedom at all and most of the orders are using J&T express which is worst in performance in my area and furthest drop point, without pick up service. Dunno what tiktok and j&t cooking behind the scene.",2026-01-14 13:24:51
No Name,1,trash apps,2026-01-14 11:56:36
Arka Trisatya,4,UI nya kurang nyaman untuk user,2026-01-14 08:35:43
Rlia Sant,1,Kembalikan tampilan Tokopedia Seller yg lbh informatif dan simple,2026-01-14 07:36:23
Joeyd,5,LOVE THE BACKGROUND REMOVER FOR THE PICTURES,2026-01-14 04:30:52
Guntaro,1,aplikasi marketplace yg tidak simple. ..beda dg orange. apalagi semenjak digabung dg tiktok makin gak jelas,2026-01-14 02:03:42
Leon Miller,5,The AI option for writing about a product is a major help!,2026-01-13 15:43:00
raihan insan,1,"aplikasi sampah dan rakus ngambil untung banyak banget. jangan jualan di tiktok kalau gak mau rugi. selamat tinggal tokopedia, pilihan buruk untuk merger sama aplikasi kandang monyet ini",2026-01-13 12:52:50
Andy Frandesar,1,"kalau bikin marketplace tolong dipersiapkan jg expedisinya..jangan cm j&t aja...barang cod kebanyakan ga diantar.. gaya promosiin fitur cod, tp dlm pelaksanaannya benar2 parah...",2026-01-13 11:57:51
Raziel ace Dela cruz,5,❤️♥️,2026-01-13 02:52:11
Pascal Michaelis,1,"aplikasi jelek, toped ngapain merging sama app bego begini",2026-01-13 02:11:28
ridillah abyanshabbah,1,Tokped jadi berantakan. Potongan platform ampun tinggi bgt,2026-01-12 15:22:32
Dương Đoàn Thanh Sơn,1,"Các xét duyệt vi phạm tự động không rõ ràng, thiếu mình bạch. App thường xuyên lỗi.",2026-01-12 12:42:09
seunghan noona,1,"cs sangat tidak solutif, respon lama dan template, aplikasi ribet",2026-01-12 08:21:00
Izfan Yunus,1,"potongannya gede bgt, jual barang 9,1jt cuman dpt 8,6. mau nangissss gua😭😭😭",2026-01-12 08:01:49
Smart Fren,1,"TDK ada customer service.. kalo ada masalah , ribet laporannya",2026-01-12 06:54:43
Alvin Eric Barbato,4,new update is better. sellers have the chance to dispute RTS equally.,2026-01-12 04:47:12
Helmy K Bachtiar,1,"aplikasi berat, masih banyak bug, setiap buka harus login, captcha gak pernah muncul gambarnya.. penurunan dari aplikasi tokopedia seller",2026-01-11 14:47:19
Win Kus,1,"tokped jadi rusak kayak gini.. dulu barang ilang cuma perlu minta tokped investigasi dan dalam beberapa hari kalo barang ilang duitnya diganti. ini udah 1 bulan dan bolak balik help center dan gudang jnt masih belum ada solusi.. amatir banget.. kalo gini terus, bakal gua alihin ke shopee semua aja. PARAH",2026-01-11 14:40:28
Gumarbio Zakaria,1,Ga seenak zaman dulu sblum jadi tiktok. Skrg ribet 👎,2026-01-11 13:33:59
Fendy Chia,1,"aplikasi ampas, beda dengan toped yang dulu.. mau update harga dan barang aja tidak bisa.. error mulu.. trus potongannya ga ngotak... sumpah ini beneran ampas",2026-01-11 07:52:08
Dwi Noer,1,tiba tiba toko di ban tanpa alsan yang jelas,2026-01-11 05:56:18
Cahya Himawan,1,"UInya ribet, bahasa indonesianya hasil translasi dari inggris ke Indonesia. Kalo pake tiktod seller center, sering keluar popup dialog buat ke laman appnya bytedance. Overall experiencenya kurang menyenangkan. Memberi dislaiks 👎",2026-01-11 04:39:28
Eka,1,suck and spammer aplikasi scam hati2 berbahaya,2026-01-11 03:14:33
Aura Racing,1,Aplikasi t*lol,2026-01-11 02:26:43
nor,5,mencuba cari experience guna ni apps,2026-01-11 00:39:10
cristina castro,5,nice,2026-01-10 13:38:58
Andrea Reyes,1,"Sellers beware! Trash app! 0 stars! You can’t get proper customer service, add chats, or see your tickets on mobile & they don’t notify you on cases with agents or their payment team! Their Plaid auto-link masked my payout account and they refused to fix it or escalate — then tried to blame my bank! Now they’re threatening a 365-day funds freeze with a “verification violation” despite me completing all verification steps! Social team ignores you and support closes tickets with no resolution!",2026-01-09 19:05:55
Kelechi Okpala,2,"You can get a penalty for unreasonsable violation ,and there is no agent to holo you only AI.Delays in remitting money to you after selling. Alot of stress to use thia app",2026-01-09 14:40:30
Purnaraj Awasthi,5,good marketing tools 🔧 👏,2026-01-09 14:19:28
Dennis Surya,1,sebagai seller mesti nunggu grab sameday dateng dari pagi sampe lewat tutup toko sih udah keterlaluan. YANG PALING GONG NYA: KALO DIKOMPLAIN CUMA BISA KASIH JAWABAN TEMPLATE DOANG TAPI GA ADA PERBAIKAN! POTONGAN AJA LU GEDEIN! PELAYANAN MAKIN PAYAH!,2026-01-09 10:41:14
Nurul Shafiza,5,very nice 😎😎,2026-01-09 09:39:27
Boss Kaido,1,tidak ramah bagi penjual dan kurang profesional dalam memberikan keuntungan sulit untuk diterapkan,2026-01-09 08:58:38
rhangga buana,5,"pelan2 mulai memahami aplikasi nya.. krn dlu tkopedia, skr bergabung dan masih perlu belajar lg alurnya.. overall keseluruhan ok.. yuk mari kita maju bersama dan tetap aman di kedua belah pihak..penjual dan pembeli happy semua aminn",2026-01-09 06:55:45
Trengkal Geming,1,"potongan platform tidak masuk akal, diskon tanpa pemberitahuan, lebih bagus aplikasi Tokopedia seller sebelumya.",2026-01-09 06:14:23
Nugraha Pratama,1,"Di aplikasi Tokopedia sebelumnya, tertulis bahwa saya diminta membalas pesan dari customer melalui aplikasi yang baru yaitu Tokopedia & Tiktok Seller Center. Saya sudah turutin mau kalian, tapi pesan2 dari customer yg nanya produk2 saya gak muncul di Inbox aplikasi yang baru. Jadi gimana balasnya? Rugi opportunity cost dong.",2026-01-09 05:13:02
Leonard Junior theodor usman,3,pengaturan opsi kirim atau kelola buat hapus barang harus pakai dekstop,2026-01-09 04:28:36
yuan dhe gama,1,"Ngeri potongannya besar banget, terus dananya juga lama sekali masuk ke saldo, butuh berhari² untuk mengambil uang hasil jualan padahal barang langsung dikirim dan sudah diterima pembeli. Sangat membebani usaha kecil/pengecer jadi susah mutar modal klo uang hasil jualan ditahan lama bgt.",2026-01-09 01:35:19
Alona Dela Rosa,5,open tiktok shop seller center wla ako benta,2026-01-08 21:12:38
Kitty Isti,1,"semenjak digabung tiktok tokoed, jadi ga ramah seller sistemnya. masak pelepasan dana seminggu. terus jam operasional gudang harus sampai minimal jam 6 sore. ngawur bgt. nyusahin banget kalau ada order instant dan cashflow juga jadi seret. mending ganti marketplace sebelah yg lebih netral. toh biaya adminnya sama aja",2026-01-08 13:27:56
I.A.M,1,Aplikasi Rentenir.. jangan jualan disini.. masa barang 500 ribu cuma nerima 350 ribu? bukan untung malah nombok seller nya,2026-01-08 05:15:10
Putrosantoso,1,"kebangetan amat ini platform seller center, masa proses withdraw saldo penghasilan ke rekening pribadi butuh wktu 5 hari kerja??!!!! dulu pas pakai platform tokopedia aja lsg realtime, hadeeeeeeh cape deh!!!!!",2026-01-08 04:07:38
DeTa,1,"ribet banget apk nya. 2nd step verification suruh tunggu 1 menit, ini lebih dari 7 jam gak muncul juga. padahal akun udah ada",2026-01-08 02:51:07
Dita Serafina,1,"Completely unusable! Bugs everywhere, very slow, always 404 error. I literally couldn't check, track nor sell anything because of the 404 error. Also constantly logged out from my account everytime I close the app, so I couldn't keep up with customers chat. Very disappointed, my customers are upset. I had to stop selling my things there and move on to other marketplace.",2026-01-07 22:40:42
Family Dismuke,5,so far sogood,2026-01-07 20:58:35
nezuko,1,"Kebijakan lebih busuk daripada Tokopedia. masa gambar produk ada link website publisher yg nerbitin produk tsb tidak boleh? seller lu suruh edit2 gambar. nyusah2in aja. Namanya produk yg bikin mereka ya suka suka mereka mau cantumin akun medsos mereka ama webnya. Flash sale skrng cm 3 hari. Penarikan dana cuma bisa 1x24 jam. Chat amburadul sortingnya dan pengelompokannya. skrng mau copas link produk aja kepotong sama navigation bar, jdnya tokopedia link ketutup ga bs diklik.",2026-01-07 17:10:46
EV Charger Official,1,ribet...,2026-01-07 13:23:13
Koryeu 2427,2,Laggy,2026-01-07 10:41:28
andrew hartono,1,"jelek banget ui nya, sangat membingungkan untuk seller. ada beberapa yang harus di rubah terutama pada saat adanya retur barang. sangat sulit di monitor dan untuk statusnya tidak di update ketika adanya approval untuk pengiriman barangnya kembali",2026-01-07 05:50:59
Min Cho,1,"I wish I could leave 0 stars for this app. I can't even get a shop because the interface is a real nightmare and terror. Even trying to set up an account with my information is impossible. I keep getting ""try again later"" or ""failed to upload."" After finally being able to insert my city with numerous attempts, the app gave me more hurdles than a running race. The information I inserted didn't show up properly. And that isn't all. I tried customer service and they are infuriating.",2026-01-07 03:41:32
